seed,train_design,eval_background,algorithm,auc,tss,boyce
6,tgb,uniform,randomforest,0.7149084952171839,0.41217076462905256,0.7019065144085035
6,tgb,tgb,maxent,0.6908759007854193,0.3887647760288069,0.43110716741928934
6,tgb,tgb,xgboost,0.698387052736843,0.3767476786704229,0.5047836878647173
6,tgb,tgb,randomforest,0.701279988402115,0.37872226381783825,0.7019065144085035
6,tgb,hybrid,maxent,0.7244986331223161,0.45047878039623745,0.4194709462763793
6,tgb,hybrid,xgboost,0.7310507804605659,0.43530711791683474,0.5047836878647173
6,tgb,hybrid,randomforest,0.7370140989932941,0.4314006884094749,0.7019065144085035
6,tgb,stratified,maxent,0.7220916292884174,0.4414366906770731,0.5379544706157653
6,tgb,stratified,xgboost,0.7229575254454701,0.41569670445403073,0.5099212017863968
6,tgb,stratified,randomforest,0.7238385984412773,0.42452428662159003,0.7070095987914724
6,hybrid,uniform,maxent,0.6508808067362695,0.3376005287494309,0.5314252838107385
6,hybrid,uniform,xgboost,0.702849252914693,0.38838357357934417,0.5804219270614952
6,hybrid,uniform,randomforest,0.7098358056507807,0.42549286120149804,0.5620282544670576
6,hybrid,tgb,maxent,0.6526551260153652,0.3212059191844629,0.5606531391098833
6,hybrid,tgb,xgboost,0.6931022607103026,0.3733552298131223,0.5804219270614952
6,hybrid,tgb,randomforest,0.6955748599079574,0.4187594203959987,0.5620282544670576
6,hybrid,hybrid,maxent,0.7326773048205018,0.4390193785727958,0.6900015304010363
6,hybrid,hybrid,xgboost,0.7544621737831916,0.46254369791184224,0.5713356510371848
6,hybrid,hybrid,randomforest,0.7640476670689155,0.4822914139921911,0.6099791445404096
6,hybrid,stratified,maxent,0.6801392212230587,0.3670753930797524,0.5679683823486524
6,hybrid,stratified,xgboost,0.712984663302886,0.39931362801491377,0.6387697115048896
6,hybrid,stratified,randomforest,0.7157287316180291,0.4213324482430133,0.6148259984733536
7,random,uniform,maxent,0.701348048914274,0.406225512385671,0.6868201735874713
7,random,uniform,xgboost,0.721405262582975,0.4158347146481076,0.4869598282129437
7,random,uniform,randomforest,0.7202468216187674,0.4417391130631164,0.602624895488123
7,random,tgb,maxent,0.6882221935587651,0.3895094634914287,0.6845694930704493
7,random,tgb,xgboost,0.7057178552075466,0.38992926382142973,0.4869598282129437
7,random,tgb,randomforest,0.7092606558362482,0.4230589426068595,0.602624895488123
7,random,hybrid,maxent,0.697440104706273,0.3955300860657938,0.6812509438770242
7,random,hybrid,xgboost,0.7385704609334784,0.4445594129089406,0.4869598282129437
7,random,hybrid,randomforest,0.7307213464002537,0.4566095180735566,0.602624895488123
7,random,stratified,maxent,0.7057437729989028,0.4081386786347939,0.6783743357771169
7,random,stratified,xgboost,0.7248640658367508,0.4243367947027716,0.5242187387682916
7,random,stratified,randomforest,0.719827735564248,0.4405447321367674,0.6081583906586291
7,tgb,uniform,maxent,0.6976768428597052,0.39464105797983373,0.6010029230119476
7,tgb,uniform,xgboost,0.7202550671709897,0.4497423412229876,0.6249879206885889
7,tgb,uniform,randomforest,0.7176674059755335,0.40622042351922516,0.6605715620703181
7,tgb,tgb,maxent,0.6812933418068892,0.36141770527636,0.5989881859582635
7,tgb,tgb,xgboost,0.7051871207754707,0.42510656430377003,0.6249879206885889
7,tgb,tgb,randomforest,0.703850623273214,0.3817775175585855,0.6606874154873912
7,tgb,hybrid,maxent,0.692926323512162,0.3798763046560446,0.6064861029330461
7,tgb,hybrid,xgboost,0.7302856240033548,0.452854312131359,0.6249879206885889
7,tgb,hybrid,randomforest,0.7238731587122842,0.4203696945741412,0.6605715620703181
7,tgb,stratified,maxent,0.7067751277854128,0.40683948824431865,0.6121929906115826
7,tgb,stratified,xgboost,0.7117248667860057,0.423962973884764,0.5491688643716872
