lat,lon,composite_score,nearest_volcano,dist_volcano_km,estimated_burial_m
-7.92,113.4,0.688,Lamongan,8.9,4.2
-7.9,113.32,0.688,Lamongan,8.9,4.1
-7.8,112.26,0.688,Kelud,15.4,1.1
-7.76,112.44,0.688,Arjuno-Welirang,15.3,1.2
-7.66,112.76,0.688,Penanggungan,15.3,1.2
-7.58,112.74,0.688,Penanggungan,12.8,1.9
-7.54,112.54,0.688,Penanggungan,12.9,1.9
-7.5,112.62,0.688,Penanggungan,12.8,1.9
-7.5,112.64,0.688,Penanggungan,12.8,1.9
-7.98,112.44,0.687,Kelud,15.6,1.1
-7.9,113.02,0.687,Bromo,9.0,4.1
-7.52,112.56,0.687,Penanggungan,13.0,1.8
-7.82,112.4,0.686,Kelud,15.9,1.0
-7.78,112.44,0.686,Arjuno-Welirang,15.9,1.0
-7.68,112.44,0.686,Arjuno-Welirang,15.8,1.0
-7.54,112.72,0.686,Penanggungan,13.0,1.8
-7.52,112.7,0.686,Penanggungan,13.1,1.8
-8.02,112.84,0.685,Semeru,13.3,1.7
-7.64,112.46,0.685,Arjuno-Welirang,16.1,1.0
-7.62,112.48,0.685,Arjuno-Welirang,16.0,1.0
-7.5,112.6,0.685,Penanggungan,13.2,1.8
-7.5,112.66,0.685,Penanggungan,13.2,1.8
-8.1,112.8,0.684,Semeru,13.5,1.7
-7.98,113.26,0.684,Lamongan,9.1,4.0
-7.8,112.24,0.684,Kelud,16.3,1.0
-8.12,112.8,0.683,Semeru,13.5,1.7
-8.04,112.82,0.683,Semeru,13.5,1.7
-7.8,112.38,0.683,Kelud,16.5,0.9
-7.6,112.48,0.683,Penanggungan,16.5,0.9
-8.0,112.84,0.682,Bromo,13.7,1.6
-7.96,113.26,0.682,Lamongan,9.3,3.8
-7.86,112.82,0.682,Bromo,17.0,0.8
-7.78,112.28,0.682,Kelud,17.0,0.8
-7.66,112.44,0.682,Arjuno-Welirang,16.7,0.9
-7.64,112.78,0.682,Penanggungan,16.9,0.8
-7.56,112.74,0.682,Penanggungan,13.7,1.6
-8.14,112.8,0.681,Semeru,13.9,1.5
-8.08,112.8,0.681,Semeru,13.8,1.6
-7.96,112.46,0.681,Kelud,17.1,0.8
-7.92,113.28,0.681,Lamongan,9.4,3.8
-7.5,112.58,0.681,Penanggungan,13.9,1.5
-7.98,112.46,0.68,Kelud,17.6,0.7
-7.94,113.42,0.68,Lamongan,9.4,3.8
-7.78,112.26,0.68,Kelud,17.5,0.7
-7.76,112.42,0.68,Arjuno-Welirang,17.4,0.8
-7.66,112.78,0.68,Penanggungan,17.4,0.8
-7.5,112.68,0.68,Penanggungan,14.0,1.5
-8.02,112.4,0.679,Kelud,14.2,1.4
-7.9,113.38,0.679,Lamongan,9.5,3.7
-7.8,112.4,0.679,Kelud,17.7,0.7
-7.78,112.42,0.679,Arjuno-Welirang,18.0,0.7
-7.68,112.42,0.679,Arjuno-Welirang,17.9,0.7
-7.64,112.44,0.679,Arjuno-Welirang,17.9,0.7
-7.84,112.82,0.678,Bromo,18.3,0.6
-7.82,112.84,0.678,Bromo,18.2,0.7
-7.78,112.24,0.678,Kelud,18.3,0.6
-7.68,112.78,0.678,Penanggungan,18.1,0.7
-7.52,112.54,0.678,Penanggungan,14.4,1.4
-8.16,112.8,0.677,Semeru,14.6,1.3
-8.06,112.8,0.677,Semeru,14.5,1.4
-8.0,112.42,0.677,Kelud,14.6,1.3
-7.94,112.78,0.677,Bromo,18.7,0.6
-7.66,112.42,0.677,Arjuno-Welirang,18.7,0.6
-7.52,112.72,0.677,Penanggungan,14.6,1.3
-7.92,112.78,0.676,Bromo,18.9,0.6
-7.86,112.8,0.676,Bromo,18.9,0.6
-7.8,112.42,0.676,Arjuno-Welirang,18.8,0.6
-7.76,112.28,0.676,Kelud,19.2,0.5
-7.54,112.74,0.676,Penanggungan,14.8,1.3
-8.18,112.92,0.675,Semeru,8.0,5.0
-8.16,112.88,0.675,Semeru,7.4,5.6
-8.16,112.9,0.675,Semeru,6.3,7.1
-8.16,112.92,0.675,Semeru,5.8,7.8
-8.16,112.94,0.675,Semeru,6.1,7.3
-8.16,112.96,0.675,Semeru,7.1,5.9
-8.14,112.86,0.675,Semeru,7.7,5.3
-8.14,112.88,0.675,Semeru,5.8,7.7
-8.14,112.96,0.675,Semeru,5.5,8.3
-8.14,112.98,0.675,Semeru,7.3,5.7
-8.12,112.86,0.675,Semeru,7.0,6.2
-8.12,112.98,0.675,Semeru,6.5,6.7
-8.1,112.86,0.675,Semeru,6.9,6.2
-8.1,112.98,0.675,Semeru,6.4,6.8
-8.08,112.86,0.675,Semeru,7.5,5.5
-8.08,112.88,0.675,Semeru,5.6,8.1
-8.08,112.96,0.675,Semeru,5.2,8.7
-8.08,112.98,0.675,Semeru,7.1,6.0
-8.06,112.88,0.675,Semeru,7.1,6.0
-8.06,112.9,0.675,Semeru,5.9,7.7
