arm,world,config,algorithm,n_observed,auc_own,auc_true,map_jaccard,spearman_full,spearman_remote
no_road,6,tgb,maxent,494,0.8575098730012624,0.8456368176108737,0.8603716725263687,0.9945089626944557,0.9730441967178057
no_road,6,tgb,xgboost,494,0.8388222945110184,0.8256268420094737,0.5498556424955019,0.9548011839786912,0.9333756840081548
no_road,6,tgb,randomforest,494,0.8470832174732497,0.8396441353498434,0.7382870551427454,0.9637019773591832,0.8892085203520461
with_road,6,tgb,maxent,494,0.857680399756957,0.845132631607418,0.8551537613943704,0.9942406219933889,0.9746835248452947
with_road,6,tgb,xgboost,494,0.8400315957095627,0.8248263149507913,0.5378228016275014,0.9522240266604424,0.9130677077659621
with_road,6,tgb,randomforest,494,0.8485208238836993,0.8416921103607429,0.7188998545927049,0.9614251172842647,0.8804161285635216
no_road,7,random,maxent,494,0.839639214246847,0.8231438158556786,0.8445908932454641,0.9833565134413302,0.9388447918136528
no_road,7,random,xgboost,494,0.8175319711252064,0.8031518609900509,0.5836052957858884,0.9341797048315343,0.9056360913837689
no_road,7,random,randomforest,494,0.8316459229672926,0.8134673851608627,0.7688915773890065,0.9433624233323421,0.811706422032579
with_road,7,random,maxent,494,0.8373761592297779,0.8218245011660976,0.8429694496964872,0.9817421946741469,0.9221663518684186
with_road,7,random,xgboost,494,0.8160277971008074,0.8000786175293163,0.5804520047220129,0.9298983136551076,0.9187802509455532
with_road,7,random,randomforest,494,0.8338094566182962,0.8120869399560995,0.7919112429852286,0.9418815808848863,0.8304383593440807
no_road,7,tgb,maxent,494,0.8347971254040567,0.8231338644459013,0.7749948085555005,0.9828276206111889,0.9272878083484695
no_road,7,tgb,xgboost,494,0.809264471897461,0.8048800849600324,0.5213165028339859,0.9383266153443949,0.905484214790667
no_road,7,tgb,randomforest,494,0.8286572346059897,0.8109798758844871,0.6952203694945766,0.9436405909076166,0.8208265472165543
with_road,7,tgb,maxent,494,0.833318133680482,0.8210313113248124,0.7626903553299492,0.9807439640282779,0.9054961839126442
with_road,7,tgb,xgboost,494,0.8120056807806533,0.7997906565729755,0.5239035629062783,0.9349924078992858,0.9184928667625774
with_road,7,tgb,randomforest,494,0.8298735673939387,0.8125516189615567,0.6997323135755258,0.9437346355746051,0.8477698568857402
no_road,8,random,maxent,498,0.8464993605179313,0.8283094950632375,0.8027547494281219,0.9870163199052892,0.9406365227188128
no_road,8,random,xgboost,498,0.8312544726001205,0.8087804267734737,0.5385041397834575,0.9334312593895384,0.8300188296289696
no_road,8,random,randomforest,498,0.8399059595769269,0.8295450112447359,0.7586174152502136,0.957365980786507,0.8556157606463886
with_road,8,random,maxent,498,0.8461867311004851,0.8269947959282258,0.7950664749689029,0.9858575179923286,0.9406292751457468
with_road,8,random,xgboost,498,0.8290991172650275,0.8062461373727215,0.5200262639527249,0.929083115970551,0.8329732133530536
with_road,8,random,randomforest,498,0.841729311553071,0.8294510361589861,0.7604283835807417,0.9592381534237773,0.8760820653491437
no_road,8,tgb,maxent,498,0.8517942178596298,0.8295190751858768,0.884443841470653,0.9885311955452611,0.9499466135435872
no_road,8,tgb,xgboost,498,0.8345957364002847,0.810892402377673,0.6013373299515794,0.9378831577328314,0.8420367671100983
no_road,8,tgb,randomforest,498,0.8422201567715243,0.8288959332015129,0.7641735596234144,0.9583976596315502,0.8720023597655021
with_road,8,tgb,maxent,498,0.850676478304264,0.8282583505390871,0.8786454546991496,0.9869589297154164,0.9448120074843314
with_road,8,tgb,xgboost,498,0.8357221128957919,0.8101742648937714,0.5995393695120196,0.9328189552719586,0.8291359247585512
with_road,8,tgb,randomforest,498,0.844284748389893,0.8306248269330041,0.7602889459176885,0.9585140827694557,0.8643701182898427
no_road,9,random,maxent,494,0.867870915952231,0.8448550381229442,0.826940466599806,0.9863089593918831,0.9559411724100463
no_road,9,random,xgboost,494,0.8454822520525012,0.8279887437453013,0.5713780668882132,0.950989217835106,0.9281580124999217
no_road,9,random,randomforest,494,0.8596494464514727,0.836133109349132,0.6894470375381996,0.9503572643306746,0.8432457037075843
with_road,9,random,maxent,494,0.8678886989820851,0.8447285756273155,0.8176762141560204,0.9842477455085311,0.9478016685213959
with_road,9,random,xgboost,494,0.8434210350296716,0.8273697570800049,0.5515002583041286,0.9443597552521376,0.9146612248190579
with_road,9,random,randomforest,494,0.8621528665106979,0.8370930490918411,0.6952979586855033,0.9491835310243304,0.8532751948659961
no_road,9,tgb,maxent,494,0.856681672423402,0.8457802745865614,0.8161314047560677,0.9888587977036969,0.9650201281343577
no_road,9,tgb,xgboost,494,0.8334253718904515,0.8274088900413286,0.5590975418116512,0.9443140329079248,0.9171045367712536
no_road,9,tgb,randomforest,494,0.8470839380427252,0.8390544954423825,0.6723857684666787,0.9461207314514922,0.8459436856600926
with_road,9,tgb,maxent,494,0.856015310182426,0.8457335432562854,0.8139671553103268,0.9888878989115183,0.9643592373253453
with_road,9,tgb,xgboost,494,0.8313423414517336,0.8283159041904844,0.5602797045690696,0.9437334855987763,0.9220172437005487
with_road,9,tgb,randomforest,494,0.8471317008553811,0.8378617647701045,0.6937475230924001,0.9466334579381909,0.848817548659879
