rank,language,concept,form,p_substrate,p_austronesian,e022_tier,form_length,vowel_ratio,ends_in_vowel,has_glottal,has_nasal_cluster,has_prefix_like,semantic_domain
204,Bugis,to blow,mat-tappoʔ,0.6162,0.3838,0,10,0.3,0,1,0,1,ACTION
205,Wolio,to turn,beŋku,0.6145,0.3855,3,5,0.4,1,0,1,0,ACTION
206,Makassar,when?,riŋapanna,0.6137,0.3863,0,9,0.444,1,0,1,0,GRAMMAR
207,Bugis,grass,sarii,0.6083,0.3917,1,5,0.6,1,0,0,0,NATURE
208,Bugis,grass,sərii,0.6083,0.3917,1,5,0.6,1,0,0,0,NATURE
209,Bugis,all,manəŋ,0.6074,0.3926,3,5,0.4,0,0,1,1,GRAMMAR
210,Bugis,"to stab, pierce",maʔ-gajaŋ,0.6057,0.3943,3,9,0.333,0,1,1,1,ACTION
211,Bugis,thick,ma-umpəʔ,0.6049,0.3951,0,8,0.375,0,1,1,1,QUALITY
212,Wolio,root,kulese,0.6032,0.3968,0,6,0.5,1,0,0,0,NATURE
213,Wolio,to scratch,kaŋkaru,0.6022,0.3978,0,7,0.429,1,0,1,1,ACTION
214,Wolio,to bite,tompa,0.6021,0.3979,1,5,0.4,1,0,1,0,ACTION
215,Wolio,to swell,tente,0.6021,0.3979,3,5,0.4,1,0,1,0,ACTION
216,Wolio,to flow,siwulu,0.6012,0.3988,3,6,0.5,1,0,0,0,ACTION
217,Muna,"to tie up, fasten",aekooli,0.601,0.399,1,7,0.714,1,0,0,0,ACTION
218,Bugis,to stand,təttoŋ,0.5974,0.4026,0,6,0.333,0,0,1,0,ACTION
219,Wolio,Twenty,rua pulu,0.5965,0.4035,2,8,0.5,1,0,0,0,NUMBER
220,Tolaki,rope,oloo,0.5957,0.4043,0,4,0.75,1,0,0,0,OTHER
221,Tolaki,day,oleo,0.5957,0.4043,0,4,0.75,1,0,0,0,OTHER
222,Wolio,all,maliŋu,0.5946,0.4054,3,6,0.5,1,0,1,1,GRAMMAR
223,Bugis,to hunt,rəŋŋəŋ,0.5916,0.4084,2,6,0.333,0,0,1,0,ACTION
224,Bugis,if,rekko,0.5912,0.4088,1,5,0.4,1,0,0,0,GRAMMAR
225,Bugis,to eat,manre,0.5901,0.4099,0,5,0.4,1,0,0,1,ACTION
226,Makassar,to throw,aññambila,0.5832,0.4168,1,9,0.444,1,0,1,0,ACTION
227,Makassar,rotten,bottoʔ,0.583,0.417,3,6,0.333,0,1,0,0,QUALITY
228,Bugis,to hold,warəkkəŋ,0.5811,0.4189,0,8,0.375,0,0,1,0,ACTION
229,Wolio,near,makasu,0.5793,0.4207,3,6,0.5,1,0,0,1,GRAMMAR
230,Wolio,far,marido,0.5793,0.4207,0,6,0.5,1,0,0,1,GRAMMAR
231,Makassar,to squeeze,ammaccoʔ,0.5772,0.4228,0,8,0.375,0,1,0,0,ACTION
232,Muna,to bite,aesia,0.5759,0.4241,1,5,0.8,1,0,0,0,ACTION
233,Wolio,"to pound, beat",purokoti,0.5754,0.4246,3,8,0.5,1,0,0,0,ACTION
234,Bugis,near,ma-caweʔ,0.573,0.427,3,8,0.375,0,1,0,1,GRAMMAR
235,Tolaki,mouth,pondu,0.5718,0.4282,0,5,0.4,1,0,1,1,BODY
