algorithm,design,seed_i,seed_j,jaccard,footprint_single_run_share,replaced_share
maxent,random,0,1,0.6764609534118585,0.3235390465881415,0.19298931235451042
maxent,random,0,2,0.6833419140781419,0.31665808592185807,0.18811275550948978
maxent,random,0,3,0.6517590266765833,0.34824097332341675,0.21083037398263468
maxent,random,0,4,0.6783254673263657,0.32167453267363433,0.19166397634784968
maxent,random,0,5,0.7212757556702689,0.2787242443297311,0.16192887363430922
maxent,random,0,6,0.7419860885008139,0.25801391149918607,0.14811479448796155
maxent,random,0,7,0.661856892754278,0.33814310724572205,0.20347305999694157
maxent,random,0,8,0.7228377804774521,0.27716221952254794,0.1608754014238866
maxent,random,0,9,0.7050191931628884,0.2949808068371116,0.17300732333101115
maxent,random,1,2,0.7286826259362609,0.2713173740637391,0.15695036786569924
maxent,random,1,3,0.6445816799865869,0.3554183200134131,0.2161147265220125
maxent,random,1,4,0.6350099317970301,0.36499006820296986,0.22323415968599736
maxent,random,1,5,0.6346239306743695,0.3653760693256305,0.22352301496950028
maxent,random,1,6,0.6749103534634868,0.3250896465365132,0.1940937590267276
maxent,random,1,7,0.6621384997740624,0.33786150022593764,0.20326916214976298
maxent,random,1,8,0.7210240814118404,0.2789759185881596,0.16209878850695802
